year,statefips,countyfips,ds_pm_pred
2014,12,12053,7.848493256537983
2012,13,13061,9.40660218579235
2011,12,12031,9.49243522320057
2013,17,17053,10.086611068493151
2011,39,39093,10.971175867780071
2014,48,48327,7.408319178082192
2011,29,29103,9.654178310958904
2013,16,16063,6.588638356164384
2013,17,17017,9.871706136986301
2014,55,55073,7.793259441907661
2011,56,56001,5.161245376986301
2012,46,46027,8.947907923497268
2011,6,6091,6.568410747945206
2011,24,24003,9.818298829135933
2014,39,39059,10.848836520547945
2011,19,19049,9.263804275251142
2012,38,38069,7.359179508196721
2012,8,8027,4.60563306010929
2012,19,19005,9.153993387978142
2013,8,8039,5.441680516634051
2014,49,49043,5.968870906217071
2013,47,47047,9.251002266500623
2012,25,25013,8.267973356676747
2012,36,36085,9.762720469243495
2011,21,21215,10.714089325342466
2011,48,48407,9.350332487671233
2012,28,28007,9.083847996357013
2012,33,33015,8.384741836396754
2013,16,16035,6.415931506849315
2011,21,21097,10.168451401643836
2013,1,1105,9.495935525114155
2012,8,8033,4.50991912568306
2012,25,25009,8.614728545166296
2014,13,13307,10.752840136986301
2011,48,48009,8.377474006392694
2014,5,5017,9.632659794520548
2013,39,39105,9.86432899543379
2013,16,16005,7.421978347447074
2012,30,30001,6.156681484517304
2014,40,40119,9.142852360999194
2012,5,5041,9.863801038251366
2013,21,21157,9.88240894977169
2013,26,26029,6.719000265542676
2012,40,40127,8.828317122040073
2012,38,38035,8.350501624165149
2014,40,40029,9.149237123287671
2012,13,13225,10.453921994535519
2012,27,27113,7.892408797814208
2012,45,45039,9.380669726775956
2014,6,6019,14.435005158394713
2012,53,53023,6.175443852459016
2011,8,8109,4.756727098630137
2013,51,51025,7.902939616438356
2014,19,19091,8.439645068493151
2014,48,48299,8.393670776255708
2011,31,31115,6.919750309589041
2012,53,53035,7.042479179821898
2012,47,47051,9.429646903460838
2011,45,45019,9.629139495471394
2012,48,48161,8.878254449648712
2011,51,51053,8.877537556947162
2012,17,17203,10.39473554948391
2014,21,21193,9.358918493150685
2011,48,48151,7.659817704109589
2013,30,30033,4.745077260273973
2012,18,18011,11.065478579234973
2012,39,39141,10.74851730954677
2013,5,5041,9.437182465753425
2013,26,26019,6.867801517808219
2014,51,51015,8.357537534246575
2011,12,12113,9.024170675835616
2012,31,31043,9.452565368852459
2014,27,27111,6.197961787268332
